,english_translation,label
0,,1
1,,0
2,god ,1
3,god ,1
4,,1
5,god ,1
6,,1
7,thanks ,1
8,laughing ,1
9,laughing god shame ,0
10,wake up since project qanun thanks ,1
11,,0
12,why accept ,1
13,and water girl ,1
14,,1
15,,1
16,was security god ,1
17,,1
18,since ,1
19,,1
20,since ,1
21,security god water hot god mom ,1
22,us ,1
23,god ,1
24,smoke breath since ,0
25,exist ,1
26,,1
27,of ,1
28,,1
29,,1
30,thanks ,1
31,,1
32,why at this ,0
33,beside of of and ,1
34,this of after ,0
35,,1
36,me laughing ,1
37,of me ,1
38,laughing ,1
39,and ,0
40,this of since ,1
41,,1
42,,1
43,god ,1
44,,1
45,make it bad god ,0
46,accept ,1
47,here god better and ,1
48,swim ,1
49,,1
50,,1
51,since and reject since would ,0
52,human head and and learn ,0
53,of laughing ,1
54,since ,1
55,god god ,1
56,below this exist since ,1
57,god god ,1
58,laughing me ,1
59,,0
60,water since head ,0
61,,1
62,god and ,0
63,similarly this ,1
64,,1
65,,1
66,was accept and and water ,1
67,begin now and day you and harm ,0
68,me ,0
69,since accept ,1
70,his god since now my god ,0
71,,1
72,creation my god ,0
73,,1
74,laughing ,1
75,and god ,1
76,,1
77,now ,1
78,laughing ,1
79,god ,0
80,,1
81,of ,1
82,us ,1
83,,1
84,exist tea now ,1
85,my brother ,1
86,god ,0
87,god god god and ,1
88,since ,1
89,book ,1
90,more since and ,0
91,,0
92,laughing ,1
93,,0
94,at laughing ,1
95,,1
96,laughing ,1
97,laughing and ,1
98,me and me water and water and and ,0
99,laughing ,1
100,accept ,1
101,was god ,0
102,at ,1
103,this and ,1
104,laughing ,1
105,laughing ,1
106,us door and ,1
107,,1
108,,1
109,proverb ,1
110,my god ,1
111,and me ,1
112,water since since now since since ,1
113,and after ,1
114,and and and since god ,0
115,me ,1
116,,1
117,my god ,1
118,and breath harm and harm and water ,0
119,still and since water ,0
120,and and and after since less better since and and and ,1
121,,1
122,less since and ,0
123,since ,1
124,,1
125,and ,1
126,a lot and here since and ,0
127,water and water ,0
128,since ,0
129,and and whole and water ,0
130,,1
131,swim my god ,0
132,prince less write less after ,1
133,me god god ,1
134,since after cat water bite my god ,0
135,my god people people ,0
136,below and and and water ,0
137,,1
138,,1
139,beside water was day water ,0
140,water cat ,0
141,,1
142,,1
143,since successive and beside and and and since else and ,0
144,my god ,1
145,attend and and beside and and trees and cat and since ,0
146,and since cat cat and since and ,0
147,god good ,1
148,swim and good and and ,1
149,command command live since less beside ,1
150,god ,1
151,role donkey harm these ,0
152,can god god ,1
153,and water and breath and and and and and water ,0
154,and and and ,0
155,swim and good ,1
156,since and and and and and and ,0
157,,0
158,since since since and since since and and and and and ,0
159,,1
160,thanks ,1
161,foot since since since march ,0
162,,1
163,laughing ,1
164,my brother swim and good and god ,1
165,me water and and ,0
166,since and after since following since ,0
167,urine and ,1
168,god good ,1
169,since breath wedding breath ,0
170,and doubt act since ,1
171,and water cat and harm ,0
172,and and since and since and and and and ,0
173,me water laughing ,1
174,this harm was after ,0
175,,1
176,and ,0
177,,0
178,since since effect dates ,1
179,and and ,0
180,laughing me ,1
181,since and since ,0
182,since cat and beside water germany and accept accept and successive and ,1
183,since since ,1
184,people and us since ,1
185,since and god ,1
186,my god god ,0
187,,1
188,water beside me ,1
189,and and and ,1
190,and cat and and ,0
191,and ,1
192,god and ,0
193,and and ,0
194,and else proverb soul ,0
195,oud france since ,0
196,dates and better ,0
197,since and and since and beside and and go out and ,0
198,,1
199,and and observe and ,1
200,live nearly since security and since and ,0
201,water and and since and was and ,0
202,god ,1
203,,1
204,,1
205,and beside since and and since since and and act cat ,1
206,trash ,1
207,and and god ,1
208,since and beside since beside and ,0
209,cat ,0
210,water water and breath and ,0
211,wake up ,1
212,beside appear since ,0
213,god god ,0
214,god water ,1
215,,1
216,water and repression since and since die proverb and and ,0
217,well-known ,1
218,water ,1
219,,0
220,laughing ,0
221,and breath since since and cat build ,1
222,and since accept and since and since accept was and blood ,1
223,my god ,1
224,and and water accept beside cat since breath and ,0
225,beside and since ,0
226,my god and ,0
227,my god ,1
228,god my god ,1
229,whole here laughing cat ,0
230,,1
231,bite of this since stone since go out bite ,0
232,since water ,0
233,laughing steal ,1
234,and since and since and cat camel and and ,1
235,god ,1
236,me laughing ,1
237,and god ,1
238,and since and and ,1
239,since ,0
240,swim and good and and god since and ,1
241,,1
242,and and and exist and water beside ,0
243,laughing ,1
244,and since and water and write and cat since and grandfather ,0
245,beside and ,0
246,and since and god this my god ,1
247,thanks ,1
248,safeguard god country ,1
249,and less cat ,1
250,act ,1
251,breath bark since laughing ,0
252,harm since water ,0
253,since cat and fear cat water ,0
254,,1
255,and and ,1
256,god ,1
257,and and since ,0
258,beside prince and ,0
259,and and and ,1
260,god and ,1
261,god ,1
262,was and cat count since and and ,0
263,laughing ,1
264,laughing laughing ,1
265,swim and good god and ,1
266,water cat cat cat act water and beside well-known and people and cat since more ,0
267,my god ,1
268,since and ,0
269,water ,1
270,swim and good my brother and ,1
271,judge and sense and and water and me and water ,1
272,me this since since outside this ,0
273,coincide and ,0
274,dog limit cat ,0
275,my god god ,1
276,east ,1
277,god god ,1
278,me water ,1
279,enter laughing water laughing ,1
280,,1
281,,1
282,command and ,0
283,foot and since and since and ,0
284,,1
285,support ,1
286,,1
287,god ,1
288,harm ,1
289,my god ,1
290,,1
291,,1
292,and harm water since water beside income and since ,0
293,,1
294,god god this ,1
295,,1
296,since since since since ,1
297,and cat and since and and ,1
298,and dream god water ,1
299,,0
300,god ,1
301,and ,1
302,laughing ,0
303,my god ,1
304,still and ,0
305,god god this ,1
306,breath and bone ,0
307,and since successive and and and and after and and ,0
308,and and and live ,1
309,million thousand and and and since and and and and and beside ,1
310,beside whole and smoke ,0
311,kill since accept god martyr die and since accept and ,0
312,dates ,1
313,and and smoke since and since and and and ,0
314,and ,1
315,,1
316,my god ,1
317,god ,1
318,whole enter since earth ,0
319,and and cat cat ,1
320,beside and since effect was and ,0
321,since live since beside earth following role since ,0
322,,1
323,,1
324,beside else cat and water and and beside that since cat ,0
325,was since ,0
326,,1
327,,0
328,was and god water people ,0
329,god ,1
330,god god ,1
331,harm cat anger cat this harm ,0
332,beside better since ,1
333,,1
334,observe and water since ,0
335,thanks swim ,1
336,,0
337,support computing since ,1
338,wear since since ,0
339,support and and since and and support ,0
340,water water water ensure since and since ,0
341,thanks ,1
342,since support and since since and and and water and ,0
343,cat and and cat and and ,0
344,was ,1
345,since ,1
346,,1
347,and and and and and ,0
348,exist a lot cat since and ,0
349,beside breath since ,0
350,cat support and and and and men less and since and ,1
351,cat ,0
352,water water and ,1
353,,1
354,god ,1
355,since harm cat harm since ,0
356,since ,1
357,,0
358,bone ,1
359,,1
360,cat and beside since and cat forbidden harm cat and and and after ,0
361,,1
362,,1
363,beside ,0
364,a lot water ,0
365,since and and since beside better and beside bone ,0
366,thanks my brother my god ,1
367,and and and since and following and and and water ,0
368,beside ,1
369,my god ,1
370,and water and ,1
371,laughing ,1
372,,1
373,,1
374,,1
375,my god ,1
376,since and less more and still after and and and ,0
377,accept and and accept ,0
378,me and cat and ,0
379,and protect and ,1
380,and ,0
381,proverb since harm water see and and and ,0
382,swim and good ,1
383,since ,0
384,since count ,0
385,god ,1
386,,1
387,god ,1
388,laughing ,0
389,and and and since cat vein and ,0
390,and was god water and and and and since and and breath ,0
391,and ,1
392,since and and and ,1
393,swim and good ,1
394,harm laughing ,1
395,swim and good ,1
396,blood laughing ,1
397,swim ,1
398,attend my god laughing ,1
399,god ,1
400,me ,1
401,,1
402,god since god my god swim ,1
403,beside since foot ,0
404,,1
405,,1
406,people water ,0
407,by count water ,0
408,rotten water ,0
409,,1
410,my god ,0
411,,0
412,since ,0
413,may ,1
414,,1
415,god ,1
416,,1
417,since water water appear ,1
418,water less ,1
419,,1
420,,1
421,foot after ,0
422,,1
423,since income and ,0
424,cat water begin ,0
425,god my god god my god ,1
426,god ,1
427,,1
428,and god and and since ,1
429,act ,1
430,,1
431,bite cat god ,0
432,,1
433,,1
434,god and god ,0
435,,1
436,my god ,1
437,laughing ,1
438,,1
439,camel since ,0
440,water me since ,1
441,whole god beside god ,0
442,since ,1
443,god god my god ,1
444,,0
445,,1
446,god my god ,1
447,cat earth and cat ,0
448,sport and you ,1
449,,1
450,me water smoke ,1
451,,1
452,,0
453,,1
454,tunisia bone since ,1
455,since ,1
456,,1
457,,0
458,since tunisia ,1
459,since ,1
460,since camel tunisia ,0
461,,1
462,and and and and since ,1
463,,1
464,,1
465,,1
466,god ,1
467,,1
468,fund ,1
469,since after ,1
470,water outside ,0
471,,1
472,,0
473,water kill river cat in order to ,0
474,,1
475,my god ,1
476,,1
477,,1
478,god ,1
479,,1
480,,1
481,since ,0
482,cat ,1
483,since ,1
484,me since ,1
485,,1
486,swim good ,1
487,,1
488,was since thousand ,1
489,and god ,1
490,god swim good ,1
491,,0
492,,1
493,laughing ,1
494,,0
495,me ,1
496,,1
497,to since ,1
498,cat ,0
499,,1
500,since water since effect since accept ,0
501,and and ,1
502,,1
503,act water ,0
504,day ,0
505,,1
506,,1
507,,1
508,,1
509,my god and ,1
510,theater ,1
511,,0
512,,1
513,,1
514,god busy ,0
515,since ,1
516,water water was beside ,0
517,god ,0
518,,1
519,and and and water ,1
520,,1
521,,1
522,water god my god ,1
523,since and ,1
524,,1
525,since ,0
526,,1
527,day water responsible ,0
528,brother ,1
529,and and water permanent ,1
530,breath since since after succeed whole ,0
531,cat ,0
532,was god ,1
533,since ,1
534,cat water water was ,1
535,since ,1
536,laughing god water ,1
537,my god and ,1
538,swim good ,1
539,swim good ,1
540,day people ,0
541,,1
542,,0
543,,1
544,root ,1
545,,1
546,,1
547,since ,1
548,status ,1
549,,1
550,harm appear since times since ,0
551,at accept water ,0
552,,1
553,after ,1
554,and and ,1
555,,1
556,and ,0
557,god after ,0
558,,1
559,god my god ,1
560,man ,1
561,water ,1
562,water since ,1
563,god god ,1
564,tunisia laughing my god and my god since ,1
565,this light race ,0
566,day ,1
567,cat since ,1
568,,1
569,water ,0
570,since ,0
571,,1
572,,1
573,god my god god my god god ,1
574,,1
575,,1
576,else ,0
577,,1
578,better ,1
579,,1
580,since ,1
