eng,darija
dog,klb
cat,mch
donkey,7mar
giraffe,zarafa
lion,sb3
chicken,djaja
cock,frouj
gazelle,ghzala
tiger,nmr
hyena,db3
fish,7out
ant,nmla
turtle,fkroun
snail,brbouch
mule,bghl
horse,3awd
sheep,khrouf
sheep,7awli
sheep,n3ja
goat,m3za
crocodile,timsa7
elephant,fil
calf,3jl
wolf,dib
pig,7llouf
monkey,9rd
rat,tobba
camel,jml
dolphin,dlfin
owl,moka
fox,t3lb
cow,bgra
bear,dobb
rabbit,9niwna
bird,twiyer
lizard,ti9lit
parrot,babbagha
mouse,far
duck,btta
shrimps,crevit
turkey,bibi
bee,n7la
crow,ghrab
pigeon,7mama
stork,bllarj
ostrich,n3ama
hedgehog,gnfoud
bat,khffach
frog,jrana
squirrel,sinjab
snake,7nch
octopus,okhtobot
shark,9irch
eagle,nsr
penguin,bitri9
butterfly,faracha
spider,rtila
scorpion,3grba
mosquito,namousa
fly,dbbana
flies,dbban
grasshopper,jrada
worm,douda
worms,doud
animal,7ayawan
insect,7achara
insects,7acharat
animals,7ayawanat
bird,3osfor
bull,tour
fish,samaka
dinosaur,daynasour
lizard,bobris
beaver,9ondos
cattle,bhima
goose,wzza
peafowl,taws
sardine,srdin
eel,smta
seal,fo9ma
cockroach,srra9zzit
cockroach,boj3ran
louses,gml
beak,mn9ar
wing,jna7
feather,richa
beast,ghoul
hippopotamus,faras nnahr
rhinoceros,wa7id l9arn
zebra,7imar wa7chi
leopard,fahd
cock,ferrouj
hoopoe,hodhod
hamster,hamster
panda,panda
llama,llama
koala,koala
always,dima
not,machi
often,ghaliban
soon,9ariban
early,bkri
slowly,bchwia
carefully,blhadawa
perhaps,imkn
here,hna
here,hnaya
there,lhih
nearby,9rib
upstairs,lfo9
later,mn b3d
now,daba
a little,chwia
a lot,bzzaf
totally,kolliyan
instantly,flblasa
almost,t9riban
sometimes,mrra mrra
sometimes,b3d lmrrat
rarely,naadiran
however,walakin
in addition,zid 3liha
enough,kafi
never,ga3
never,batatan
quickly,dghya
quickly,bzzrba
before,9bel
after,mnb3d
still,mazal
finally,akhiran
literally,7rfyyan
daily,yawmian
recently,mo2khkharan
together,mjmou3in
frankly,sara7atan
safely,bisalam
again,3awttani
unfortunately,lil2asaf
especially,khososan
also,za2id
usually,3adatan
simply,bi basata
generally,3ammatan
actually,fl7a9i9a
rather,bl a7ra
ever,abadan
already,sabi9an
directly,dirikt
therefore,idan
else,akhr
thus,bttali
easily,bsohoula
eventually,flkhr
exactly,tamanan
certainly,9at3an
currently,7alian
constantly,bstimrar
properly,bl9a3ida
specifically,khasatan
ahead,lgddam
relatively,nisbyan
fairly,bl3adl
primarily,awwalan
completely,blkamil
seriously,blm39ol
mostly,3omoman
naturally,tab3an
occasionally,a7yanan
clearly,bwodou7
essentially,asasan
equally,gdgd
necessarily,bddarora
personally,chkhsyya
regularly,bntidam
similarly,b7al
basically,fl asas
effectively,fi3lian
initially,flbdya
